Port_IDs,ROI,PnL,Sharpe_Ratio,Win_Rate,Total_Positions,MDD,Score
3986814617275053313,1.0,0.3400789741937344,0.5414331496939553,0.9745889052500252,3554,0.994215437728348,0.441632948352975
4029299190618134272,0.6307401578943964,0.1861488874848818,0.42026472877004706,0.39003066278795506,230,0.9914600535147268,0.2100962732451353
4020204877254599680,0.004866744459437109,1.0,0.18415875606401994,0.4104365369958005,6050,0.9268558794311393,0.19030704633554424
3999240873283311617,0.02770145511399672,0.6511447681513155,0.4056070087757899,0.6518959349229365,4522,0.9907818304314899,0.16879034925475606
3826087012661391104,0.0065313334120635745,0.15269733849011013,1.0,0.7267932489451477,108,0.9923077476400066,0.16396689739466042
3966142151544441601,0.0014267401529670406,0.20428446326906452,0.17319071606476566,0.6629489440245002,1932,0.0,0.15243217547855942
3956048468100538880,0.0009008800733252311,0.16266713576093297,0.8004867967761853,0.8899509170756911,28,0.9942341102599047,0.14089438248605127
4022641794255717633,0.06996699783649898,0.1721906855677419,0.8454726705842941,0.5422642104772502,6052,0.9892716387281674,0.1389679800982439
3891020560590657281,0.0009008800733252311,0.18024643759397319,0.6778027254358711,0.8068616781359012,437,0.9942341102599047,0.11244346978226949
4028701921959171840,0.01833950169784155,0.35506423061627895,0.4696396614855144,0.67646633027209,687,0.9937993002497133,0.10677257845027711
4039129759104249600,0.0009008800733252311,0.16137156408460332,0.7967428926080745,0.5527063590259554,133,0.9942341102599047,0.10609725292837316
4039279455324236544,0.0009008800733252311,0.15869825396829254,0.7298678211071035,0.689643921672722,327,0.9942341102599047,0.10574766736377791
4035430878731345664,0.0009008800733252311,0.17594804609990156,0.7271529628967548,0.6019668000894,89,0.9942341102599047,0.1007494315962782
3907081197088384000,0.004095453535518586,0.35997967701696665,0.39926458125642095,0.7649662705151455,4137,0.981982151944766,0.1002757758259811
3943533600390906881,0.008284302210075208,0.17437919194628085,0.671962559057187,0.6828185092014512,1759,0.990403789439403,0.10019388296526487
4029422834086627072,0.0009008800733252311,0.17957778320901674,0.7828997410697903,0.4641704783179094,102,0.9942341102599047,0.09902658933101506
4030565764341697025,0.11001344922147203,0.17945893566713966,0.5455665814203577,0.6051666236114699,105,0.9940252463236552,0.09839496037989678
4022565861939831809,0.004624812357505608,0.3147085177222296,0.5013495161014814,0.6574275710822977,705,0.9862065781922742,0.098146246737494
3886752488982104320,0.049210986783524334,0.23168813628844356,0.39791575826725073,0.928712590325425,1249,0.9934300462178295,0.09612523386048641
4017110277719148289,0.0009008800733252311,0.18076374364911024,0.6267406159255273,0.7070165618990212,252,0.9942341102599047,0.09237586277029702
